从哪一天开始在广州市内骑摩托车会被没收？|2007年1月16日
中共河北省正定县县委副书记是直属于谁管的?|中共中央组织部
美国哪个时报在报导时提到:有3.1万名妇女做了绝育手术，3万人安装了宫内绝育工具等内容?|纽约时报
升任中共福州市市委书记是于西元多少年?|1990年
同于2007年习近平以及谁被选为中共中央政治局常委?|李克强
习近平为中华人民共和国中央军事委员会副主席是透过哪个会来表决?|全国人大常委会
颁奖典礼是透过什么转播?|电视
自治州介于省级与县级之间，通常被归入什么?|地级行政区
为可能的唯一副省级地方区划单位的地方为?|伊犁哈萨克自治州
自治州人民委员会在必要的时候，经新疆维吾尔自治区人民委员会报请国务院批准，可以设立若干专员公署，以上的条例于西元几年制定?|1958年
文中提到，自治州对所属地区在人事、计划、物资以及什么等方面真正管起来?|财政
领导干部配备和待遇级别是特殊处理，伊犁州的阿勒泰地区以及什么区?|塔城地区
糖的组成元素为碳、氧以及什么?|氢
英语的糖sugar源自波斯语以及什么语言?|梵语
白砂糖敷伤口的愈合速度比什么还要快?|抗生素
认为糖的安全食用量是低于总热量5%为哪个单位?|世界卫生组织
莱茵河最终流入哪个海?|北海
莱茵河为德国与法国的南部边界界河，是流经哪里后?|巴塞尔
哪个组织评价此处提到: 几个世纪来，这里发生的众多历史事件、演绎的许多传奇，对作家、艺术家和作曲家?|联合国教科文组织
注入爱塞湖的水量中，其中，包括哪条河的9分之1?|艾瑟尔河
最原先莱茵河的分水领只有到艾菲尔山与韦斯特林山的南部，是什么时候的事情?|中新世
隆河是阿尔卑斯山哪里的流域?|北部
为了提高硫酸的警戒性，在什么情况中会将颜色染成暗褐色?|工业制造过程
硫酸会与什么东西产生脱水反应以及灼伤?|碳水化合物
铅室法于西元鸡年开创?|1746年
假使硫酸滴到眼睛，视网膜遭到破坏，也有可能发生什么事情?|永久性失明
当溶液中硫酸含量超过多少时会贴上腐蚀性的警告标示?|1.5M
长时间呼吸含有硫酸成分的空气，会造成呼吸道的刺激，严重者可能会如何?|肺水肿
首相会参与法律制定的过程是于首相在哪里的时候?|下议院
首相一直并非被创造出来，而是经由多少时间演化的?|三百年
首相一字首次出现于西元几年?|1905年
首相年薪包括内阁以及国会议员，共为多少英镑?|197,689英镑
多少平方公里为神户市的面积?|552.83平方公里
阪神淡路大地震于西元几年发生?|1995年
神户市的范围已经包括东滩区和滩区部分地区，还有今日神户市的沿海地区这是于西元几年的情况?|1941年
兵库县第1区左派势力包括共产党以及?|社会党
占神户市经济活动很小的比重是哪个产业?|农业生产
零售业巨头COOP以及什么，发祥地都在神户?|大荣公司
哪一个银行的前身为太阳神户银行?|三井住友银行
兵库县立美术馆为谁设计的?|安藤忠雄
棒球与哪个体育运动是在神户最受欢迎的?|足球
御崎公园球技场是为了哪年的世界杯兴建?|2002年
其中，神户大学创建于西元几年?|1949年
除了神户市外国语大学以外还有哪所为神户规模较大的大学?|兵库县立大学
神户市的六甲山最高海拔高度为多少米?|931.25米
日本几大温泉其中之一包括了有马温泉?|三大
神户港最著名的旅游景点包括: 神户港湾区、美利坚公园、神户海洋博物馆以及哪里?|神户港塔
高速公路途径神户市中，中国自动车道为大阪府吹田市出发至何处?|山口县下关市
神户市全年气候属于较如何?|温和
于西元1920年首次调查什么表，人口为第三多的城市?|人口普查
神户最早的历史可以追朔到旧石器时代以及什么样的文化?|绳文时代
在1868年哪个港口位于凑川以西，主要由日本船舶利用?|兵库港
日本首批政令指定都市为哪里?|神户
古腾堡计划于几年开始?|1971年
启用了新的线上目录是几年做的决定?|2004年
古腾堡计划中收录的作品多为?|英文作品
只有版权过期者才可以加到PG档案中来，是透过什么法进行?|美国版权法
能在水上战斗与陆上战斗的兵种为什么?|海军陆战队
三列桨座战船由哪一个民族制作?|腓尼基人
第一艘核动力的潜艇为哪一国先制造?|美国
美国于1980年代建造了数艘提康德罗加级飞弹巡洋舰，是为了提防谁?|苏联
阿利•伯克级驱逐舰拥有神盾系统，还具备匿踪、核生化防护等特性，是哪国建造?|美国
海军可在什么时期作为外交宣传工具?|和平时期
被要求应具有国际外交官的礼节，于哪一军种的军人?|海军人员
早期的海权不是由军队，而是因为什么需求?|商业需求
近50年时间内海军理论都是以获得制海权的需要为其基础，是来自于柯白以及谁的基础?|马汉
主张降低航空母舰的数量是于西元几年的事情?|1949年
贸易与殖民活动更为兴盛，海军规模也随之扩大，是因为人民从民族发展至什么样更复杂的国家体系?|城邦
在舰上加装火砲为几世纪时?|15世纪
控制16世纪大西洋与西太平洋的航线为哪一国的舰队?|西班牙
18世纪初哪一个国家也开始资本主义以及殖民帝国?|法国
19世纪末至20世纪初，发展出来的新兴国家包括义大利、日本以及哪一国?|德国
美国夺取菲律宾和加勒比海的殖民地是因为击败哪国的舰队?|西班牙
加里波利战役为英法的什么样大规模的作战?|两栖登陆
亚洲最强海军为日本，也是世界第几大强的?|第三
珍珠港事件为西元几年发生?|1941年
需要药品治疗监测是因为治疗指数较如何?|低
化学家设法制造出许多结构类似的化合物，这个称为?|类似物
能够更好的理解药物在人体内的作用和原理，可以在哪一本学说里面发现?|学习药理学
医药方面，在实验室里工作为谁?|药理学家
第一部由政府颁布的药典名为什么?|唐本草
发明了阿片酊等制剂为药学家谁?|盖伦
以青蛙为试验对象的为哪一国的学者?|法国
以哪里为中心是原指中国一词?|洛阳盆地
中国历史上疆土最大的时期为哪一个朝代?|元朝
华人和华侨可以只属于为什么民族的人?|中华民族
在维护民族团结的斗争中，要反对大民族主义，主要是大汉族主义，也要反对地方民族主义。以上内容于哪个宪法中提及?|中华人民共和国宪法
哪个独立运动支持者认为他们自古以来就是一个独立的国家或地区，有自己独立的政治、经济、文化地位?|东突厥斯坦
台湾人多来自中国大陆闽南地区及粤东地区，是属于什么族群?|汉族
马来西亚总人口的24%为什么?|马来西亚华人
前苏联的唯一合法的什么名为苏联共产党?|执政党
哪个机关每1-5年召开一次，也是苏共最高权力机关?|代表大会
此党的党员身分方面通常为如何?|不公开
1939年党员人数降至190万是由于什么事件?|大清洗
唯一未将国际单位制定义为官方量度系统的国家为哪一国?|美国
公制为工程师、天文学家以及哪类学家设计的?|物理学家
单位原器于西元几年被制作?|1799年
计算平方根已使用到十进位的小数，为多少年前?|五百年前
于1812年的量度系统为谁推动?|拿破仑
重新引进公制系统于1817年，为哪一个国家?|荷兰
大陆沿岸土地在海面下向海洋的延伸称为什么?|大陆棚
大陆棚会向陆地河流的地形是因为它包括: 蜿蜒的河道、三角洲以及什么等地形?|冲积平原
形成陆基的步骤为沉积物从陆坡泄下，并且在陆坡底下产生什么作用?|堆积
萃取冶金学、微电子学蚀刻法或者是金属切割等，都是电浆用于什么方面?|工业用途
介质阻挡放电常常被误会成什么?|电晕放电
电浆是于西元几年首次被发现?|1879年
电浆的阴离子以及阳离子之总电荷为多少?|零
在弱电离电浆中，其离子的温度接近为?|室温
恒星的温度包括较强的什么光?|可见光
双层可以分隔开双层性质不同的电浆，使得离子以及什么因此而加速?|电子
能够将快速流动气体的动能转化为电离能和电浆热能，于哪个过程?|临界电离过程
非中性电浆是因为电浆含有过高的什么密度，并且能够以单种带电粒子组成?|净电荷密度
原则上写下所有电浆粒子的位置以及什么，就能完全描述电浆之状态?|速度
电浆需要能量输入是由于需要维持以及什么?|生成
两个电极之间就会形成发光的电弧是连续的放电现象，类似什么东西?|闪电
参赛资格引起很大的争议为哪一队伍?|辽宁队
总收入突破20亿元，于几年赛季中?|2014
香港球员最初被哪个单位认定为亚洲外援?|中国足协
元旦是以正月朔日为一年的开始的称呼，而另一个称呼则名为?|正旦
阴阳干支三合历的采用为中国的纪年以及什么?|历法
阴历和什么的区分，是因为一个普通的历法无法同时满足年和月的准确周期?|阳历
多少小时为干支月比朔望月平均来的多?|21.75小时
文中，2月10日是丁未日，是于西元几年?|2013年
冬至到大寒两个中气之间相隔较短，是因为地球靠近哪里时公转速度会较快?|近日点
香港大学是哪个国家在东亚的唯一一所大学?|大英帝国
面积多少平方米为新校园的大小?|6000平方米
学生宿舍方面，男女各为多少个?|36个
信兴学院、志新学院、立之学院和日新学院，是于几年落成?|2012年
废除科举制度是于西元几年?|1905年
香港大学于西元几年正式启用?|1912年
香港大学拥有最多怎么样的学生?|研究生
香港大学的校徽获得包含校盾和校训的纹章是于西元几年获得?|1913年
张爱玲曾就读香港大学的哪个学院?|文学院
邓志昂楼现今为?|香港大学亚洲研究中心
亚速海的主要河流为顿河以及哪一条河?|库班河
亚速海纪录的无脊椎动物为几种?|300种
占大部分地区并拥有最多人口的为德意志27个领地中的哪一个王国?|普鲁士王国
文中所述，德国在1871年至1914年成长了多少?|四分之三
德国的疾病保险法于西元几年推出?|1883年
争取教育和就业平等，为当时德国的什么运动?|妇女运动
在初级学校学生必须熟读什么?|德国历史
宣扬日耳曼种族优越论或是提出夺取英、法等国殖民地，这些是来自于哪个团体?|沙文主义
由于军备竞赛，英国于1906年第一艘的哪一个战舰下水?|无畏舰
德国于几个月内将俄国击败?|4个月
美国后加入战争，是因为威廉二世建议哪一国与德国结盟并且攻打美国?|墨西哥
三皇同盟包括德、奥和哪一国?|俄
文中提及，使得俾斯麦放弃进攻行动，为谁表示俄国不会视而不见?|沙皇亚历山大二世
使德俄关系恶化原因为德国积极讨好奥国与哪一国?|英国
德意志移民团体的成立是位于哪里?|柏林
导致德国与英国关系恶化的原因包括建立强大的军队以及什么想法?|殖民帝国
德国海外殖民地大大落后于列强是因为俾斯麦时期没有积极的做哪件事情?|向外扩张殖民地
按普鲁士宪法基础的帝国宪法是于西元几年颁布?|1871年
德意志帝国的各邦保留教育、卫生和哪一个权力?|地方行政
第一次摩洛哥危机是因为摩洛哥以及哪一国发生争执?|法国
第二次摩洛哥危机于西元几年发生?|1911年
中央党获得63个席位是于西元几年?|1871年
规定国家代替了教会对学校的监督为当时哪个法?|学校监督法
俾斯麦认为哪一个党派为帝国的敌人之一?|社会民主党
腓特烈三世只当99日的皇帝，原因为生什么病?|咽喉癌
大规模罢工行动是于西元几年发生?|1917年
在德意志地区，消除各邦之间关税的名字为?|关税同盟
1882年时，德国的工业中心为哪里?|鲁尔区
由于俾斯麦的什么政策结束，不但使国内物价高涨，还造成外国的报复性攻击?|保护关税
斋戒月能够体验饥饿与渴的感觉并且了解社会上哪种人的生活?|穷人
伊朗帕赛波里斯为谁所建?|居鲁士二世
倭玛雅大清真寺在罗马为基督教后，改名为什么?|圣约翰大教堂
西亚的石油丰富，主要分布于何处?|波斯湾沿岸
文中提及，哪一地区的基督教人口只剩下该国总人口的40%?|黎巴嫩
逃亡中，前往埃及的有多少人?|14万
许多国家以及政治人物批评哪一国总理的难民政策?|德国
粗略有270万叶门居们被迫离开家园，是于西元几年时统计?|2016年
哪一个国家虽然也有逃往国外的难民，但国内也收容不少其他西亚国家的难民?|黎巴嫩
由于气候干燥，阿拉伯的河川都位于哪里?|西北部
现今的基督教徒仅剩20至50万为文中哪个国家?|伊拉克
安纳托利亚高原北临黑海，西临爱琴海，东接亚美尼亚高原，其中南临哪里?|地中海
底格里斯河与幼发拉底河的中下游，为哪一个平原?|美索不达米亚平原
文中提及，这里的热带干旱气候具有极强烈的大陆性，酷热干燥少雨，是世界上最热的地区之一，请问为哪?|阿拉伯半岛
面纱是在比较保守的伊斯兰国家，或是较为严谨的穆斯林会穿戴，不仅能够低调也能避免吸引谁的注意?|异性
哪一种权显示阿拉伯女性的地位低落?|监护权
在法律规定上，女性继承人的财产只能拥有男性的多少?|一半
吃饭时不能用餐具且什么不能碰到嘴巴?|手指
宰杀后的处理过程必须在多少小时内完成?|72小时
什么名称为，经由演化后能够成功生存?|适应
往某一方向偏离平均的个体存活率最高为哪种演化选择?|定向选择
于西元1994年，加萨之自治权交由谁管理?|巴勒斯坦民族权力机构
2007年以色列开始对加萨进行严密封锁，是由于谁夺取此地的控制权?|哈马斯
加萨走廊与埃及总长多少公里?|11公里
加萨走廊的海岸线或者是海域都是由谁控制?|以色列
加萨走廊边境的关闭，造成加萨的经济减少多少?|三分之一
约翰•霍普金斯大学和国立阿拉伯巴勒斯坦大学的一个研究表明，由于营养不良，53%的年轻和中年妇女以及44%的儿童罹患有什么症状?|贫血症
谁谴责以色列是发动经济战争?|阿拉伯联盟
埃及开放了与加萨走廊陆路相连的拉法口岸是于西元几年做的决定?|2011年
新罕布夏州为第九个加入合众国的州，是由于此州批准了什么法?|美利坚合众国宪法
定居皮利角于1623年，为谁定居?|英国渔民
新罕布夏州为当初美国革命时多少殖民地之一?|十三
列克星敦和康科德战役为美国什么的第一战战争?|独立战争
于2014年新罕布夏州的国民生产总值为全美第几位?|40位
于2008年联邦资金占预算51.1亿中的多少?|14.8亿美元
新罕布夏州的主要州际公路并且从塞勒姆向利特尔顿向北运行的为哪条公路?|93号州际公路
减少了一个物种可能会破坏当地的什么?|食物链
由于地球上许多物种濒临灭绝，为了保护濒危的物种，199个国家以协议检署什么计划?|生物多样性行动计划
欧洲以及哪里的动物园，可能为最早的人工繁殖?|亚洲
细胞会进入细胞周期的DNA合成，使期染色体会复制使由姊妹染色单体组成，此过程于减数分裂的哪一部分?|开始之前
什么为减数分裂后会产生的四个细胞之形成?|配子
减数分裂具有两个相同的染色体，又称为?|同源染色体
双倍体生物是借由减数分裂产生什么样的配子?|单倍体
个体会在单倍体与双倍体之间交替存在，因此又被称为什么?|世代交替
蒙兀儿帝国全盛时期包括印度次大陆以及哪里?|阿富汗
哪个为蒙兀儿帝国的基层信仰?|印度教
帝国内部实行文化融合和宗教宽容政策，此政策在第几代皇帝由于叛乱而停止?|第四代
无实权的宰相职位名为?|瓦齐尔
蒙兀儿帝王在印度的第一座皇帝陵墓名为?|胡马雍陵
又称红堡，并且以红色沙岩为主建材为哪一座城堡|阿格拉堡
妊神星为哪个星质量的三分之一?|冥王星
妊神星小行星中心归类为经典古柏天体，于西元几年?|2006年
西班牙团队再次访问布朗的日志时，这天正好是谁排到望远镜的时间?|奥尔蒂斯
转速与妊神星从平衡形态变形为不等边椭球形，所需在多少天内?|100天
妊神星光谱于西元几年取得?|2005年
俄罗斯北部和东部分别为太平洋和什么海洋包围?|北冰洋
莫斯科是欧洲什么数据最多的城市?|人口
新西伯利亚是俄罗斯著名的什么城?|科学城
安巴大多数都为谁的后裔?|非洲黑人
安地卡及巴布达最大的岛名为?|安提瓜岛
谁可以随时要求进行新的选举?|总理
镰仓时代总共经历多少年?|141年
文永之役为谁派兵攻打日本?|忽必烈
二元统治为镰仓政权与谁的并存政策?|京都政权
能够将声音转换为讯号的什么，是为电话的基本元件其中之一?|耳机
固网电信又称为什么?|普通老式电话服务
输入要打的电话号码可以从电话拨号转盘或者使用什么样的按键?|数字按钮
直流讯号无法通过，只有交流的振铃讯号才能通过，是由于电话的蜂鸣器透过什么连接到电话?|电容器
告知交换机这通电话已结束，是由于哪种电流被中断?|直流电流
什么样材质的线为交换机与用户之间会用到的?|铜线
元朝在何年建立?|1271年
蒙古常为何种气象现象的发源地?|寒潮
守门员于哪个范围内被视为一般球员?|禁区外
最著名的进攻守门员希基达有什么的称号?|疯子
苏联藉球员列夫雅辛又被称为什么?|黑蜘蛛
有部分的守门员会戴上什么，避免受阳光影响?|棒球帽
犹太教认为哪一本经典仅次于希伯来圣经?|塔木德
只剩下一面西墙又俗称哭墙，为何处的圣殿被拆，?|耶路撒冷
犹太教相信是由谁创天造地?|耶和华
犹太人期盼谁的到来，会影响个别的犹太人及整个族群和全人类?|弥赛亚
犹太男孩大概于几岁，会被送进地方性的会堂，并且以旧约为教科书来学习阅读和写作?|六岁
伊斯兰教的部分核心，结构以及理论，是来自于哪一教?|犹太教
资产阶级被定义为资本主义社会中拥有生产资料的阶级，此想法来自于哪个主义?|马克思主义
什么方式为资本家财富主要来源?|投资
海威市被评选为国家森林城市，是于西元几年?|2009年
威海市为当时甲午战争时，哪一支军队的重要基地?|北洋海军
烟台市的荣成、乳山与哪里为威海市代管于1988年?|文登
威海市的哪个地理座标为121度11∼122度42?|东经
多少平方公里为威海市占有的市区面积?|769平方公里
威海市的8月均温为多少度?|24.7度
彰化县于何时设立?|雍正元年
台中市政府三处办公处，其中丰原区的为哪里?|阳明市政大楼
头汴坑、软埤坑、抽藤坑、马力埔、食水嵙等都为台中设置的什么区域?|休闲农业区
台中彰化都会区为台湾第二个大型的什么?|都市圈
哪个节日为纪念诗人屈原?|诗人节
大里乡改名为大里市是于西元几年时更改?|1993年
台中高等农林学校演变成现今的哪所学校?|国立中兴大学
倾斜几度的棋盘状为台中车站周围街道?|45度
台中于2016年10月16日使用什么样类型的站并且取代以前使用的站?|高架新站
文中提及，以观光方式复驶的为什么线?|旧山线
iBike采用24小时营运以及什么样方式的管理系统?|无人自动化
多少公顷为台中港的水域面积?|973公顷
台中市于几年成为全球顶尖7大智慧城市之一?|2012年
有两座国家公园于台中，其一为太鲁阁，另一个则为什么?|雪霸
逢甲商圈、一中商圈、东海商圈、精明一街商圈、台中车站商圈等都是为台中的知名的商圈以及?|夜市
台中的哪一区占全市的46%?|和平区
台中中央部为盆地与丘陵，其中占最大面积的为哪种地形?|盆地
哪一条溪为大甲溪的上游?|南湖溪
太平洋上时常形成什么会对台湾造成危害?|台风
夏季的季风为什么?|西南季风
秋季是台中降雨最少的季节是由于什么原因?|位于背风坡
青森县的粮食自给率达123%，是因为它为什么行业的县?|农业
小选举区制是于西元几年进入日本?|1996年
什么时代开始青森种植苹果?|明治时期
青森县最大的工业城市位于哪里?|八户市
感觉抑扬顿挫的为哪一种方言?|津轻方言
三大睡魔祭于几月举行?|八月
有六位大相扑横纲都是青森县出身，因此青森县又称为什么?|相扑王国
JR北海道的海峡线是连接哪里以及北海道的陆路交通?|本州
出现大规模稻作文化是日本于什么时代时?|弥生时代
日本最初的世界自然遗产是白神山地以及哪里?|屋久岛
文中提及日本著名的清流为哪一条?|奥入濑溪
青森哪个时代的统治者为安藤氏?|镰仓时代
承认津轻为信对津轻地区的支配权的为谁?|丰臣秀吉
弘前县诞生几天后就移到青森并且改名青森县?|19天
青森弘前大学于西元几年成立?|1949年
日本经济增长速度减速，青森县的开发计划也因此被迫大幅变更，是由于什么事件后?|第一次石油危机
东部青森县的洪积台地是被什么覆盖?|火山灰
哪个火山带为八甲田火山?|那须火山带
青森县的津轻地方和南部地方为哪种地理方面?|人文地理
青森县的三大城市包括八户市、青森市以及哪?|弘前市
法兰克人以联邦者的身份定居于罗马帝国境内是于西元几世纪?|4世纪初
克洛维一世没收了死去或逃亡的地主土地，是于哪一民族扩散过程时做的?|法兰克人
克洛维过世后，土地由几个儿子瓜分?|四个
查理大帝占领了整个伦巴底王国于几年的时候?|774年
哪个地区为皇帝宫殿和查理统治下的法兰克王国的中心?|阿亨
决定三分法兰克帝国是于哪个条约提到?|凡尔登条约
被细分的帝国分别发展出不同的习俗、民风以及什么?|语言
加入神圣罗马帝国包括波希米亚以及哪一国?|伦巴第
至888年还被看作整个帝国的皇帝为谁?|查理三世
Yahoo!这个名称出自于哪本书?|格列佛游记
Yahoo! Axis于西元几年发布?|2012年
雅虎公司退出韩国业务为哪一年的年底?|2012年
Qwiki为哪个手机公司的应用程式?|苹果
BrightRoll为雅虎花多少钱收购?|6.4亿美元
14世纪有少量人在今纳米比亚一带定居，是由于谁自非洲中南部迁移?|班图人
西南非洲更名纳米比亚为西元几年联合国决议?|1968年
哪个宪法于1990年制定?|纳米比亚宪法
纳米比亚国家元首为什么样的方式产生?|人民直接选举
哪个产业为纳米比亚的经济的出口为主?|矿产
哪个产业还是现今纳米比亚约一半人口做的?|农业
哪本经典为新教的最高权威?|圣经
文中提及，新教的主教可以做什么?|结婚
以议会形式管理区会的制度，名为?|长老制
两大对立神学思想在英美世界的新教教会，包括阿米念主义以及哪一种主义?|加尔文主义
信义宗认为基督徒由于什么的原因，要顺服管辖他们的政府?|良心
维持良好的秩序及和平，平安无事的度日等，为信义宗认为这是哪一方面的责任?|国家
强调神权，不完全赞成民主，是由于加尔文认为很容易演变成什么情况?|暴民政治
美国的浸信会分裂成美南浸信会和美北浸礼会是由于美国南部长期支持种族隔离以及什么制度?|奴隶制
伦敦地铁为全球最怎么样的?|最古老
浸礼宗于西元几年传至中国?|1836年
有人视浸礼宗的起源于17世纪时，谁创立的施行浸礼小团体?|英国牧师史密斯
司布真曾提及:我们是路德和加尔文之前的改革者并且我们不是起源于哪个时期?|宗教改革
浸信会认为受浸者为怎么样的信徒?|得救
在北美第一个浸信教会于西元几年创立?|1639年
叔未士牧师建立首个教会于哪里?|皇后大道
哪个地区为第一个客语事工?|高雄美浓
胡适入中国新公学，兼任英文教员于西元几年?|1908年
胡适师从约翰杜威是于哪所大学研读期间的事情?|美国哥伦比亚大学
尝试集为中国新文学上第一部什么样的诗集?|白话诗集
索隐派的代表为谁?|蔡元培
胡适发现三卷及一份残卷，约两万字有关神会和尚的资料是于巴黎以及哪里?|伦敦
胡适一生推动什么样的文化?|白话文
红海位于阿拉伯半岛与哪里之间?|非洲东北部
华美协进社是在哪里发起?|美国
名誉法学博士学位是胡适于哪间大学所接受?|香港大学
胡适于哈佛大学讲学在西元几年的时候?|1944年
在南京举行成立大会，为哪一个单位的中国委员会?|联合国教科文组织
认为中华民国宪法为内阁制的为谁?|蒋中正
蒋介石于1949年派谁去探访胡适?|蒋经国
胡适宣称：不管局势如何艰难，我始终是坚定的用道义支持蒋总统的，是于解放军占领哪里?|南京
胡适思想批判论文汇编为哪个出版社发行?|三联书店
于新青年上发表文章拥护德先生和赛先生为谁?|陈独秀
谁为自由中国的负责人?|雷震
对红海开始发生兴趣是几世纪的欧洲人?|15世纪
红海的沿岸都为什么?|珊瑚礁
现任英国君主的父亲为谁?|乔治六世
詹姆斯六世于1603年继承英格兰王位，称为什么?|詹姆斯一世
英国以及其他领土开始独立，宣告帝国时代的终结是于什么战争之后?|第二次世界大战
国会、上议院和下议院提供建议和许可，为君主哪个权力?|立法权
君主必须任命获得谁为支持者的人为首相?|下议院
第一次悬浮国会最后是任命谁作为首相?|哈罗德威尔逊
瓦伦西亚海岸线有长长的海滩闪烁著白色的砂砾，又被称为什么?|白色海岸
瓦伦西亚为谁所建立?|罗马人
朱元璋于何时入皇觉寺?|1344年
朱元璋击败了陈友谅、张士诚后，建立大一统，并且把国号命名为?|大明
朱元璋时代无宰相之名，但有宰相之实的为哪个职位?|内阁
朱元璋以及谁为一介布衣而成天子者?|刘邦
朱元璋就派使臣持国书前往日本、安南、占城以及哪里等四国，宣告元朝已灭亡?|高丽
明朝与日本的建交关系于西元几年?|1371年
尔礼部回文书，声教自由，果能顺天意合人心，以妥东夷之民，不生边衅，以上是为谁透过礼部的回应?|朱元璋
罢免太仓黄渡市舶司于何时发生?|洪武三年
什么为朱元璋设立的重要教育机构单位?|国子监
于天灾或者是灾害方面，朱元璋不仅树立了朝廷的负责任形象，也增强了哪个单位的凝聚力?|政府
为了教化番荑，朱元璋利用什么东西?|宗教
有四十六妃陪葬为哪一个陵墓?|明孝陵
至正十七年哪里由朱元璋亲自攻取?|宁国
陈友谅率六十万水军进攻朱元璋根据地洪都，是由谁守住此处两个多月?|朱文正
汤和为征南将军是于至正几年?|二十七年
进攻福建时命何文辉为副将军，命谁为征南将军?|胡廷瑞
广西是于洪武几年所平定?|五年
共价键为两个或多个什么元素共同使用外层电子达到饱和状态?|非金属原子
由电子的复合而构成完整的轨域来解释，是于哪个学论中?|量子力学
文中提及，对于印刷厂来说是很大的挑战是由于印刷机从四台变成几台?|三台
中国时报持有中广与中影股份是于西元几年?|2006年
于西元几年后中国时报变得更为亲中?|2008年
自古以来世界各地许多人都以鱼肉为重要的什么来源?|营养
东京都为首都这件事并没被何者所规定?|宪法
什么粒子为现代粒子物理学的集中研究?|亚原子粒子
哪一个学论为粒子物理学研究时必须遵守的?|量子力学
与标准模型出现偏差的实验观测，是于最近发现什么的静质量不为零?|微中子
什么东西被英国物理学家查德威克所发现?|中子
文中提到，最大的困难为对多个物体计算时的困难，而其中需要用到哪个力学来计算?|量子色动力学
可以解释世界上的一切的一种最基础的物理理论名为什么?|还原论
一些批评者认为即使认识基本粒子所有特性，人们以此不能完全理解所有的自然的过程，此为什么理论?|混沌理论
由于价格昂贵，粒子物理学关系到哪方面的决策?|公共政策
科学家认为人口老化对于粒子物理学不利，因此逐渐转移到健康科学以及什么学论身上?|生物学
建造国际直线对撞机为整个实验哪个时期的目标?|中期
哪一国封建制，又并了六国?|秦
新界的哪里为大埔区?|东部
主要人口都在大埔区的哪里?|新市镇
香港的著名内港于大埔区的哪里?|吐露港
最古老的岩石于香港，名为什么?|黄竹角咀组
海军兵学校于几年创立?|1876年
加贺和赤城为什么要被改造成航空母舰?|华盛顿海军条约
当时于太平洋战争中，最先进的舰上战斗机之一名为什么?|零式战斗机
海上警备队是于西元几年重新建立?|1952
日本海军购买五艘潜水艇是于西元几年?|1904年
日本海军最后的进口大型军舰为哪一艘?|金刚战斗巡洋舰
日本加入第一次世界大战是以哪一国的盟友加入?|英国
奥地利的潜水艇击沉驱逐舰桦，其中死了多少官兵?|59名
吹雪型驱逐舰于西元几年推出?|1928年
条约派及哪个派系为日本海军两个对立派系?|舰队派
日本海军装备和战术的优越性是于哪场战争初期?|太平洋战争
正式宣布日本无条件投降是谁阅读了终战诏书?|昭和天皇
中原是以中国河南省为核心并且延伸至哪里?|黄河中下游
哪一带是指天下之中和河洛的地域?|洛阳
一望无际的黄淮平原为中原的东部以及哪里?|中部
中原地区常刮西北季风是由于受到怎么样的影响?|蒙古高压
密西西比河又被美国人尊称什么河?|老人河
峡谷急流带的明尼阿波利斯处长为多少公里?|1.2公里
厄瓜多盛产何种作物?|香蕉
易名国立南京大学于哪一国成立前夕?|中华人民共和国
于西元几年南京大学去掉国立两字?|1950年
出于档案资料安全方面的考虑转存在中国第二历史档案馆是由于当时是什么时期?|文革
南京的反文革势力运动，又被称为什么?|南京事件
校庆日在6月6日为哪所学校时期?|国立东南大学
以哪个铁路中的一号线与二号线转乘方式可以到达仙林校区以及鼓楼校区?|南京地铁
面积近800亩为哪里的教学科研区?|北园
多少公里为浦口校区与鼓楼校区两校之相距?|18公里
三江师范学堂之后又先改名为什么?|南京高等师范学校
商科的设立是西元几年?|1917年
以教学法代替教授法是谁的提案?|陶行知
学衡月刊于西元几年创办?|1922年
杜威为哪一个主义的倡导者?|实用主义哲学
之后改名为什么于民国17年?|国立中央大学
位于成都华西坝的院区为农学院畜牧兽医学系以及哪一个学院?|医学院
查理大帝为法国，德国以及部分国家奠定了什么样的基础?|政治实体
查理曼被安葬的地方于现今哪个国家境内?|德国
查理对撒克逊人发动过八次战役于多少年以内?|三十三年
787年到788年间，谁与查理关系瓦解?|君士坦丁堡
阿瓦尔人迁徙到潘诺尼亚地区大概于西元几年左右?|557年
带领随从向查理曼宣降的为阿瓦尔人的哪个领袖?|图顿
攻占了巴塞隆纳是趁哪一民族内乱的时候?|摩尔人
查理曼感染风寒随后于哪里去世?|首都亚琛
衍生出电子材料是由于材料与什么领域的结合?|电子工程
在地中海里赛普勒斯面积为第几大?|第三
房地产归类于哪个法律权限下?|民法
什么为购买或开发土地和建筑物的主要资金来源?|银行抵押贷款
通常都是需要谁来给不动产进行估价?|专家
中国改革开放以来的第一个烂尾楼高潮，是由于发生高强度的什么事件?|通货膨胀
发布了121号文件以加强房地产投资管理为哪个单位?|中国人民银行
政府为了保证经济增长达到8%的增幅目标，放开了银行信贷于西元几年?|2009年
文中提及，哪一党指导思想之一为马列主义?|中国共产党
马克思列宁主义一词是被世界各地共产党以及什么主义的思想体系所称呼?|共产主义
哪种主义为很多支持共产党一党专政的人士所自称?|马克思列宁主义者
驱逐马列、恢复中华的民族口号由哪国提出?|中华民国
有意地与马克思列宁主义保持距离，特别是与哪个主义联合的政党?|欧洲共产主义
工业革命是人力、兽力被什么取代?|机器
