从哪一天开始在广州市内骑摩托车会被没收？|2007年1月16日
在宜昌，跟武汉一样，把吃早餐俗称为?|过早
宜昌的什么水坝之枢纽工程和宜昌市区的灯火交相辉映?|葛洲坝
海牙位于西荷兰的哪?|南荷兰省
海牙于1248年，由哪个国王所建立?|威廉二世
由于海牙有不同种类和数量的外国餐厅，使得市内有许多什么样的差异?|文化差异
茅利塔尼亚最早封建王国，为哪一种族的人于7世纪时建立?|阿拉伯人
哪个军队于2005年，当总统塔亚不在国内之际发动军事政变?|总统卫队
茅利塔尼亚伊斯兰共和国北与摩洛哥、阿尔及利亚相连，而南边与哪国为交界?|塞内加尔
有最冷月均温达摄氏20度以上，气候炎热干旱等条件，为什么样的气候?|热带沙漠气候
茅利塔尼亚伊斯兰共和国哪一区降水量可达400毫米以上?|西南边境
该国国民平均所得仅为400美元，条件是资源有限以及哪个原因?|气候因素
摩尔人的女儿婚礼，向来都是由家中的谁做主?|母亲
富贵家的女孩子，在几岁开始都由女仆人用油脂抹在身上和吃富含脂肪的食物?|七岁
泰州市位于江苏省的何处?|中部
泰州境内河网密布，其境内之公路北侧属淮河水系，而长江水系是属于哪一侧?|南侧
泰州有此季风性的特征，原因是受到什么样的影响?|季风环流
泰州地区通常于何时入秋?|9月中旬
公共财政预算收入233.25亿元，此数据是西元几年于泰州市纪录?|2012年
桧柏、楝、桑、刺槐、水杉等，为泰州什么样的资源?|植物资源
其大学不仅有王室特许状之成立，此殖民地学院更是于哪份宣言签署前成立?|美国独立宣言
此大学在全球排名，仅次于哪所学校?|哈佛大学
哥伦比亚大学接受助学金的金额为多少美元?|46,516美元
哥伦比亚大学的首部章程是由谁颁布?|乔治二世
谁有权确认学校的财政与投资计划、监管学校的捐赠等等日常事务?|校董事
都是由谁来提名学校总顾问，秘书长等等人员?|校长
位于晨边高地临近地区，教师学院和协和神学院以及哪个学院附属哥伦比亚大学?|巴纳德学院
哥伦比亚大学哪门学科的教授第一次引入绿色萤光蛋白标记细胞?|生物学
哥伦比亚大学的学生人数为29,870人，于2014年的哪个季节?|秋
普布利乌斯期刊，是每多久时间就发行一次的政治期刊?|半年
除了联邦党人报社级讽刺幽默，还有哪一本也是由哥伦比亚大学的学生出版?|哥伦比亚小丑
而教师学院纪录这份是由西元几年出版?|1900年
第一次调频信号是在哪一州的天线塔?|新泽西州
社团每周会举行一次辩论外，还会在哪里朗诵垮掉的一代的诗作?|校园台阶上
1999年，哥伦比亚哪个促进校园创业的组织成立?|哥伦比亚大学新兴企业家
说服协会相信纽约是容纳这所高等学府的理想地点为哪个教会?|英格兰教会
在近期多少年里，哥伦比亚的毕业生创立了超过100间公司?|20年
哪个实验室的目的为协调大学与企业一起进行新兴科技的研究?|纽约媒体实验室
学生运动最后由谁实施了强制清场及逮捕?|纽约市警察
军中怎么样的行为，导致哥伦比亚大学校长为何不支持重启ROTC这项目?|反同性恋政策
1784年美国设立什么机构，监督国王学院的重建?|校董事会
于十九世纪后半叶左右，学校的主要收入来源为何?|纽约房地产
由于学校的搬迁，以及后者努力，哥伦比亚大学变成了什么类型的典范?|综合性大学
在晨边高地，提供教职员及研究生们居住的套房，拥有多少公寓?|7,800套公寓
雕像中的女神，王座前扶手的前端是两盏明灯，代表著智慧以及什么?|信条
2007年，大学购买位于晨边高地校区的哪里的工业区?|以北曼哈顿维尔
纽约基督教长老宗医院所属于哥伦比亚大学医学院以及哪所大学之医学院?|康奈尔大学
纽约州精神病学研究所占地多少英亩?|20英亩
绿色集市是属于什么类型的组织?|非营利组织
湖南省的哪一部为岳阳市?|东北部
多少平方公里为岳阳市的市区面积?|845平方公里
多少公里为岳阳湖南省道长度?|701公里
岳阳唯一个普通铁路为?|京广铁路
洞庭湖大桥预计于西元几年完工及通车?|2018年
2011年生产总值仅落后于哪一区?|省会长沙
2011年工业增加占地生产总值前一年多出多少百分点?|2.8个百分点
此虫进入人体只需几秒?|10秒
什么东西的发祥地于汨罗江?|龙舟文化
岳阳在春秋时期规哪一国?|楚
于隋开皇十一年时，将巴州改名为?|岳州
明朝时将岳州路改为岳州府，至何时称呼仍一样?|清朝
将岳阳、临湘、平江和湘阴属长沙专区，于哪国成立后?|中华人民共和国
岳阳市东部是山丘地带，占全县总面积多少?|五分之四以上
岳阳市哪个位置的东洞庭湖，事湖南省最大水面?|西南部
温度在16.6至17.2℃为岳阳市的?|年平均气温
哪族的人口为居多于岳阳地区?|汉族
岳阳市全区土壤受气候等影响，主要是以红壤、水稻土以及何种土为主?|黄壤
中西区的哪里为早期有华人住宅?|西环
中西区的哪一区有太平山和薄扶林一带?|半山区
维多利亚城位于中环与上环，由哪一国建立?|大英帝国
大口环根德公爵夫人儿童医院，能够服务全香港怎么样的病人?|儿科
安阳市在哪个时期为为七朝古都?|中国魏晋南北朝
多少钱为2010年安阳市工业增加值?|732亿元
谁与中国光伏产业合作，共建太阳能中心光伏产业化与技术研发基地?|联合国
安阳市农产品里，其中小麦占有的土地大小为多少?|395万亩
柏庄内衣市场、豫北蔬菜批发市场和零售市场等地方，为安阳的什么?|专业批发市场
在安阳市境内，车站有柏庄、安阳、宝莲寺、汤阴、宜沟五站，而这条铁路名为?|京广铁路
安阳市大部分为平原地形，因此公路如何?|四通八达
安阳市公共运输总公司中，有多少条营运线路?|48条
谁的唱腔融会了秦腔、曲剧等音调?|崔兰田
安阳县小南海最早在什么时期就有人居住?|旧石器时代
安阳先属魏国，后属赵国，是在什么时期?|战国时期
由于北齐统治残暴，后被哪一国灭掉?|北周
安阳市的哪一方与新乡、鹤壁两市相接?|南
安阳市的地形以什么为主?|平原
安阳市的气候为什么样的?|暖温带大陆性季风气候
由于受到什么影响使得雨水充沛，天气炎热等气候?|季风
正式命名为安阳市为西元多少年?|1949年
龙安区的设立石油郊区以及什么地方的各一部份合并?|安阳县
于哪个时代曾经修复安阳老城?|清朝
位于城市的东边，是目前规划中的什么地区?|安阳新区
工具机工具、水泥、电机为比哈尔邦的什么产品?|工业产品
中国人民解放军海军为中国人民解放军陆军与哪国的舰队及人员在基础上建立?|中华民国海军
我们一定要建设一支海军，这支海军要能保卫我们的海防，有效地防御帝国主义的可能的侵略，以上这句话由谁题词?|毛泽东
谁于1950年发电报给毛泽东，当中表示可即任命萧劲光为海军司令?|刘少奇
南海舰队和北海舰队等，于1955年至多少年建立?|1960年
由谁视察海军于1953年?|毛泽东
中国人民解放军海军与中华民国海军发生海战，都以什么样部队为主?|水面舰艇
毛泽东最后一次主持召开中共中央政治局会议于哪里?|中南海
美国的军机则迫降在海南岛的哪里，是由于2001年空中发生碰撞?|陵水机场
2013年7月14日谁的潜舰首次通过日本北海道和俄罗斯的宗谷海峡?|中国海军舰艇
解放军海军首次访问哪国的军港，于2014年9月20日?|伊朗
海上联合—2015Ⅰ演习为哪两国执行的演习?|中俄
中级士官最高服现役年限为几年?|8年
由什么喷发凝结后能够形成玄武岩?|基性岩浆
兵库县城崎温泉的玄武洞大约从多少万年前开始产生?|165万年前
红外线能利用拥有感测器的什么工具穿透太空间的星尘?|望远镜
怎么样的光功率为32瓦?|紫外线
人类可以看见近红外线，其中，中及长波红外线就会远离什么?|可见光谱
红外线滤镜滤除状态下，得让眼睛做什么，就能够使人眼看见特别暗的影像?|适应
底片所能感应的近红外线波长为肉眼能看见的几倍?|两倍
北半球几乎是被陆地和海洋平分，南半球多是海洋，是由于什么原因?|大陆漂移
云层产生雨或雪落到地表，会因此形成河流及什么，一并流入大海?|湖泊
由于北欧较低的气温使海水蒸发量较小，使得哪一片海的海水盐度很低?|波罗的海
由于光线强度不足，于海平面多少以下是无法行光合作用?|200米
强烈的风推动以及不规则的波峰，会成为什么?|海浪
地震、山体滑坡、陨石撞击或火山爆发等现象，都会造成什么的发生?|海啸
能够依靠对地震波的监测来进行海啸预警为什么系统?|海啸预警系统
奥多瓦雷多人于公元前6000年，可能从委内瑞拉的哪里朝加勒比海的方向扩散?|奥里诺科河谷
谁曾参与从红海绕过非洲到尼罗河三角洲的远征?|希罗多德
唯一被水覆盖的星球是何者?|地球
古典力学的基础为什么定律?|牛顿运动定律
牛顿的哪个定律中提及: 加速度的方向与净外力的方向相同?|第二定律
由于古典力学无法解释光波传播于以太内的速度，所以进而发展了什么理论?|狭义相对论
加州理工学院创立为多少年?|1891年
于哪里的经济繁荣，1920年加州理工学院声誉快速爬升?|南加州
盖尔曼和费曼为什么样的研究家?|粒子物理学家
于犹太古史提及耶稣名字是在第几章?|第18章
文中提及，谁并不是唯一一个提及耶稣的犹太历史学家?|约瑟夫
理由而认为男性在任何时候都可以要求离婚，是希列派依据哪一本书认为?|申命记
古兰经中，是谁的神迹使耶稣由马利亚生出?|真主
在伊斯兰教中认为尔撒和谁一样是真主受命的使者?|穆罕默德
某部西藏经书中提及耶稣前往哪里学习佛法?|尼泊尔
哪一教派不接受基督教的新约圣经?|犹太教
奥勒留·奥古斯提奴斯为哪一个民族的人?|柏柏尔人
奥古斯丁于几岁得一子?|18岁
谁将人类从罪恶中拯救出来，并且降世为人?|耶稣基督
认为马利亚终身童贞为哪一教派?|天主教
耶稣表示假如没有藉著他，没有人能够到哪去?|天父
最后的晚餐是在公元多少年左右?|30年
谁被三十二两银子收买?|犹大
耶稣预言中，于它受难当天，门徒谁会在场?|约翰
耶稣复活后门徒面前显现长达几天?|四十天
谁原本迫害基督徒，后来成为向外邦人传福音的使徒?|保罗
根据哪个福音纪载，亚伯拉罕到约瑟为36代?|路加福音
提比留·凯撒在位第15年时，谁开始先知生涯?|约翰
罗马帝国改信基督教为哪一个皇帝之后?|君士坦丁大帝
历史家约瑟夫斯描述的那次人口调查为公元几年?|6年
根据文献，叙利亚每几年举行一次人口调查?|十四年
香港警察司署的称呼也可以用在什么的官方文件?|警察队
2011-12年度指控查明属实，因此向哪个单位提出2427项建议?|投诉及内部调查科
80%认同999紧急报案电话接线警员工作效率高，为西元几年香港大学的访问?|2001年
警员面试阶段增加了实务事件处理测试，于西元几年?|2011年
新入职的见习督察为几岁，截至2008年?|26岁
双十暴动死伤人数为香港史上最高，为多少人?|59人
左派阵营放置真假土制炸弹，于香港、新界以及哪里?|九龙
跟踪队的谁当时乔装为买家，并且准备与叶继欢交易?|李光明
香港历史上最高悬红为多少港元?|200万港元
当中删除了斗争委员会、毛语录、红色肥猫以及什么等字眼?|恐怖主义
羊膜动物发展出的膜包括: 羊膜、尿膜以及什么膜?|绒毛膜
一般两栖类的卵为何没有特别保护，更没有羊膜，通常是什么原因?|体外受精
此种内膜不仅可以将内部结构强化，还够提供批胎的什么功能?|交换空气
包含两对荐部肋骨、胸带和胸骨、或者脚踝的距骨，可以判定为哪种动物化石?|羊膜动物
南沙群岛一直都是为哪一国渔民所用?|中国渔民
除了马来西亚以为还有哪一国也宣称拥有南沙群岛，并且驻军于此?|菲律宾
于哪一朝代对于南海诸岛的位置纪载更为详细?|元代
水师提督李准被任命前往西沙巡视于西元几年?|1909年
哪里的国家博物馆反驳清朝地图没有包括南海岛屿?|越南
南海诸岛于西元几年归于广东省?|1911年
狄托领导南斯拉夫一开始对哪国强硬，后又拒绝合并?|苏联
内战后加入北约组织的为希腊以及哪一国?|土耳其
西巴尔干地区受到南斯拉夫内战的影响是于什么事件结束后?|冷战
南斯拉夫分裂的主权共和国并且有国际承认的包括: 斯洛维尼亚、克罗埃西亚、波士尼亚与赫塞哥维纳、蒙特内哥罗共和国和塞尔维亚，最后还有什么?|马其顿共和国
塞尔维亚设立民主多党制选举，是因为他们推翻联盟中的谁?|米洛舍维奇
巴尔干半岛最高峰为穆萨拉峰，其海拔为多少米?|2925米
于1409年给谁的信中提及巴尔干一词?|教皇诺森八世
巴尔干于几世纪被引入英文?|18世纪
东南欧稳定公约于西元几年命名?|1999年
伊利里亚人出现亚得里亚海沿岸等地方，为公元多少年?|前1000年
巴尔干半岛为拉丁语和希腊语过渡地区，是于什么时候的事情?|罗马帝国时期
罗马击败马其顿王国于公元前几年?|168年
鄂图曼帝国帝国的势力在巴尔干为最大，于几世纪?|16世纪末
保加利亚国王投降原因是因为?|希腊军队入侵
鄂图曼帝国为哪个战营的三大帝国之一?|同盟国
于二次大战，导致德国出兵支援是因为希腊占领义大利的哪里?|阿尔巴尼亚
巴尔干人遭受种族清洗政策和饥饿等事件，是在被谁占领的时候?|纳粹
习近平西元几年加入中国共产党?|1974年
习近平当选中华人民共和国主席及中华人民共和国中央军事委员会主席是于西元几年?|2013年
习近平的现任妻子为?|彭丽媛
依据习近平弟弟的回忆，习近平因为谁的问题受到牵连常常多次关押审查?|父亲
西元几年的冬天，习近平当选梁家河大队党支部书记?|1974年
习近平被推荐读清华大学化工系是于西元几年?|1975年
中共河北省正定县县委副书记是直属于谁管的?|中共中央组织部
美国哪个时报在报导时提到:有3.1万名妇女做了绝育手术，3万人安装了宫内绝育工具等内容?|纽约时报
升任中共福州市市委书记是于西元多少年?|1990年
同于2007年习近平以及谁被选为中共中央政治局常委?|李克强
习近平为中华人民共和国中央军事委员会副主席是透过哪个会来表决?|全国人大常委会
颁奖典礼是透过什么转播?|电视
自治州介于省级与县级之间，通常被归入什么?|地级行政区
为可能的唯一副省级地方区划单位的地方为?|伊犁哈萨克自治州
自治州人民委员会在必要的时候，经新疆维吾尔自治区人民委员会报请国务院批准，可以设立若干专员公署，以上的条例于西元几年制定?|1958年
文中提到，自治州对所属地区在人事、计划、物资以及什么等方面真正管起来?|财政
领导干部配备和待遇级别是特殊处理，伊犁州的阿勒泰地区以及什么区?|塔城地区
糖的组成元素为碳、氧以及什么?|氢
英语的糖sugar源自波斯语以及什么语言?|梵语
白砂糖敷伤口的愈合速度比什么还要快?|抗生素
认为糖的安全食用量是低于总热量5%为哪个单位?|世界卫生组织
莱茵河最终流入哪个海?|北海
莱茵河为德国与法国的南部边界界河，是流经哪里后?|巴塞尔
哪个组织评价此处提到: 几个世纪来，这里发生的众多历史事件、演绎的许多传奇，对作家、艺术家和作曲家?|联合国教科文组织
注入爱塞湖的水量中，其中，包括哪条河的9分之1?|艾瑟尔河
最原先莱茵河的分水领只有到艾菲尔山与韦斯特林山的南部，是什么时候的事情?|中新世
隆河是阿尔卑斯山哪里的流域?|北部
为了提高硫酸的警戒性，在什么情况中会将颜色染成暗褐色?|工业制造过程
硫酸会与什么东西产生脱水反应以及灼伤?|碳水化合物
铅室法于西元鸡年开创?|1746年
假使硫酸滴到眼睛，视网膜遭到破坏，也有可能发生什么事情?|永久性失明
当溶液中硫酸含量超过多少时会贴上腐蚀性的警告标示?|1.5M
长时间呼吸含有硫酸成分的空气，会造成呼吸道的刺激，严重者可能会如何?|肺水肿
首相会参与法律制定的过程是于首相在哪里的时候?|下议院
首相一直并非被创造出来，而是经由多少时间演化的?|三百年
首相一字首次出现于西元几年?|1905年
首相年薪包括内阁以及国会议员，共为多少英镑?|197,689英镑
多少平方公里为神户市的面积?|552.83平方公里
阪神淡路大地震于西元几年发生?|1995年
神户市的范围已经包括东滩区和滩区部分地区，还有今日神户市的沿海地区这是于西元几年的情况?|1941年
兵库县第1区左派势力包括共产党以及?|社会党
占神户市经济活动很小的比重是哪个产业?|农业生产
零售业巨头COOP以及什么，发祥地都在神户?|大荣公司
哪一个银行的前身为太阳神户银行?|三井住友银行
兵库县立美术馆为谁设计的?|安藤忠雄
棒球与哪个体育运动是在神户最受欢迎的?|足球
御崎公园球技场是为了哪年的世界杯兴建?|2002年
其中，神户大学创建于西元几年?|1949年
除了神户市外国语大学以外还有哪所为神户规模较大的大学?|兵库县立大学
神户市的六甲山最高海拔高度为多少米?|931.25米
日本几大温泉其中之一包括了有马温泉?|三大
神户港最著名的旅游景点包括: 神户港湾区、美利坚公园、神户海洋博物馆以及哪里?|神户港塔
高速公路途径神户市中，中国自动车道为大阪府吹田市出发至何处?|山口县下关市
神户市全年气候属于较如何?|温和
于西元1920年首次调查什么表，人口为第三多的城市?|人口普查
神户最早的历史可以追朔到旧石器时代以及什么样的文化?|绳文时代
在1868年哪个港口位于凑川以西，主要由日本船舶利用?|兵库港
日本首批政令指定都市为哪里?|神户
古腾堡计划于几年开始?|1971年
启用了新的线上目录是几年做的决定?|2004年
古腾堡计划中收录的作品多为?|英文作品
只有版权过期者才可以加到PG档案中来，是透过什么法进行?|美国版权法
能在水上战斗与陆上战斗的兵种为什么?|海军陆战队
三列桨座战船由哪一个民族制作?|腓尼基人
第一艘核动力的潜艇为哪一国先制造?|美国
美国于1980年代建造了数艘提康德罗加级飞弹巡洋舰，是为了提防谁?|苏联
阿利•伯克级驱逐舰拥有神盾系统，还具备匿踪、核生化防护等特性，是哪国建造?|美国
海军可在什么时期作为外交宣传工具?|和平时期
被要求应具有国际外交官的礼节，于哪一军种的军人?|海军人员
早期的海权不是由军队，而是因为什么需求?|商业需求
近50年时间内海军理论都是以获得制海权的需要为其基础，是来自于柯白以及谁的基础?|马汉
主张降低航空母舰的数量是于西元几年的事情?|1949年
贸易与殖民活动更为兴盛，海军规模也随之扩大，是因为人民从民族发展至什么样更复杂的国家体系?|城邦
在舰上加装火砲为几世纪时?|15世纪
控制16世纪大西洋与西太平洋的航线为哪一国的舰队?|西班牙
18世纪初哪一个国家也开始资本主义以及殖民帝国?|法国
19世纪末至20世纪初，发展出来的新兴国家包括义大利、日本以及哪一国?|德国
美国夺取菲律宾和加勒比海的殖民地是因为击败哪国的舰队?|西班牙
加里波利战役为英法的什么样大规模的作战?|两栖登陆
亚洲最强海军为日本，也是世界第几大强的?|第三
珍珠港事件为西元几年发生?|1941年
需要药品治疗监测是因为治疗指数较如何?|低
化学家设法制造出许多结构类似的化合物，这个称为?|类似物
能够更好的理解药物在人体内的作用和原理，可以在哪一本学说里面发现?|学习药理学
医药方面，在实验室里工作为谁?|药理学家
第一部由政府颁布的药典名为什么?|唐本草
发明了阿片酊等制剂为药学家谁?|盖伦
以青蛙为试验对象的为哪一国的学者?|法国
以哪里为中心是原指中国一词?|洛阳盆地
中国历史上疆土最大的时期为哪一个朝代?|元朝
华人和华侨可以只属于为什么民族的人?|中华民族
在维护民族团结的斗争中，要反对大民族主义，主要是大汉族主义，也要反对地方民族主义。以上内容于哪个宪法中提及?|中华人民共和国宪法
哪个独立运动支持者认为他们自古以来就是一个独立的国家或地区，有自己独立的政治、经济、文化地位?|东突厥斯坦
台湾人多来自中国大陆闽南地区及粤东地区，是属于什么族群?|汉族
马来西亚总人口的24%为什么?|马来西亚华人
前苏联的唯一合法的什么名为苏联共产党?|执政党
哪个机关每1-5年召开一次，也是苏共最高权力机关?|代表大会
此党的党员身分方面通常为如何?|不公开
1939年党员人数降至190万是由于什么事件?|大清洗
唯一未将国际单位制定义为官方量度系统的国家为哪一国?|美国
公制为工程师、天文学家以及哪类学家设计的?|物理学家
单位原器于西元几年被制作?|1799年
计算平方根已使用到十进位的小数，为多少年前?|五百年前
于1812年的量度系统为谁推动?|拿破仑
重新引进公制系统于1817年，为哪一个国家?|荷兰
大陆沿岸土地在海面下向海洋的延伸称为什么?|大陆棚
大陆棚会向陆地河流的地形是因为它包括: 蜿蜒的河道、三角洲以及什么等地形?|冲积平原
形成陆基的步骤为沉积物从陆坡泄下，并且在陆坡底下产生什么作用?|堆积
萃取冶金学、微电子学蚀刻法或者是金属切割等，都是电浆用于什么方面?|工业用途
介质阻挡放电常常被误会成什么?|电晕放电
电浆是于西元几年首次被发现?|1879年
电浆的阴离子以及阳离子之总电荷为多少?|零
在弱电离电浆中，其离子的温度接近为?|室温
恒星的温度包括较强的什么光?|可见光
双层可以分隔开双层性质不同的电浆，使得离子以及什么因此而加速?|电子
能够将快速流动气体的动能转化为电离能和电浆热能，于哪个过程?|临界电离过程
非中性电浆是因为电浆含有过高的什么密度，并且能够以单种带电粒子组成?|净电荷密度
原则上写下所有电浆粒子的位置以及什么，就能完全描述电浆之状态?|速度
电浆需要能量输入是由于需要维持以及什么?|生成
两个电极之间就会形成发光的电弧是连续的放电现象，类似什么东西?|闪电
参赛资格引起很大的争议为哪一队伍?|辽宁队
总收入突破20亿元，于几年赛季中?|2014
香港球员最初被哪个单位认定为亚洲外援?|中国足协
元旦是以正月朔日为一年的开始的称呼，而另一个称呼则名为?|正旦
阴阳干支三合历的采用为中国的纪年以及什么?|历法
阴历和什么的区分，是因为一个普通的历法无法同时满足年和月的准确周期?|阳历
多少小时为干支月比朔望月平均来的多?|21.75小时
文中，2月10日是丁未日，是于西元几年?|2013年
冬至到大寒两个中气之间相隔较短，是因为地球靠近哪里时公转速度会较快?|近日点
香港大学是哪个国家在东亚的唯一一所大学?|大英帝国
面积多少平方米为新校园的大小?|6000平方米
学生宿舍方面，男女各为多少个?|36个
信兴学院、志新学院、立之学院和日新学院，是于几年落成?|2012年
废除科举制度是于西元几年?|1905年
香港大学于西元几年正式启用?|1912年
香港大学拥有最多怎么样的学生?|研究生
香港大学的校徽获得包含校盾和校训的纹章是于西元几年获得?|1913年
张爱玲曾就读香港大学的哪个学院?|文学院
邓志昂楼现今为?|香港大学亚洲研究中心
亚速海的主要河流为顿河以及哪一条河?|库班河
亚速海纪录的无脊椎动物为几种?|300种
占大部分地区并拥有最多人口的为德意志27个领地中的哪一个王国?|普鲁士王国
文中所述，德国在1871年至1914年成长了多少?|四分之三
德国的疾病保险法于西元几年推出?|1883年
争取教育和就业平等，为当时德国的什么运动?|妇女运动
在初级学校学生必须熟读什么?|德国历史
宣扬日耳曼种族优越论或是提出夺取英、法等国殖民地，这些是来自于哪个团体?|沙文主义
由于军备竞赛，英国于1906年第一艘的哪一个战舰下水?|无畏舰
德国于几个月内将俄国击败?|4个月
美国后加入战争，是因为威廉二世建议哪一国与德国结盟并且攻打美国?|墨西哥
三皇同盟包括德、奥和哪一国?|俄
文中提及，使得俾斯麦放弃进攻行动，为谁表示俄国不会视而不见?|沙皇亚历山大二世
使德俄关系恶化原因为德国积极讨好奥国与哪一国?|英国
德意志移民团体的成立是位于哪里?|柏林
导致德国与英国关系恶化的原因包括建立强大的军队以及什么想法?|殖民帝国
德国海外殖民地大大落后于列强是因为俾斯麦时期没有积极的做哪件事情?|向外扩张殖民地
按普鲁士宪法基础的帝国宪法是于西元几年颁布?|1871年
德意志帝国的各邦保留教育、卫生和哪一个权力?|地方行政
第一次摩洛哥危机是因为摩洛哥以及哪一国发生争执?|法国
第二次摩洛哥危机于西元几年发生?|1911年
中央党获得63个席位是于西元几年?|1871年
规定国家代替了教会对学校的监督为当时哪个法?|学校监督法
俾斯麦认为哪一个党派为帝国的敌人之一?|社会民主党
腓特烈三世只当99日的皇帝，原因为生什么病?|咽喉癌
大规模罢工行动是于西元几年发生?|1917年
在德意志地区，消除各邦之间关税的名字为?|关税同盟
1882年时，德国的工业中心为哪里?|鲁尔区
由于俾斯麦的什么政策结束，不但使国内物价高涨，还造成外国的报复性攻击?|保护关税
斋戒月能够体验饥饿与渴的感觉并且了解社会上哪种人的生活?|穷人
伊朗帕赛波里斯为谁所建?|居鲁士二世
倭玛雅大清真寺在罗马为基督教后，改名为什么?|圣约翰大教堂
西亚的石油丰富，主要分布于何处?|波斯湾沿岸
文中提及，哪一地区的基督教人口只剩下该国总人口的40%?|黎巴嫩
逃亡中，前往埃及的有多少人?|14万
许多国家以及政治人物批评哪一国总理的难民政策?|德国
粗略有270万叶门居们被迫离开家园，是于西元几年时统计?|2016年
哪一个国家虽然也有逃往国外的难民，但国内也收容不少其他西亚国家的难民?|黎巴嫩
由于气候干燥，阿拉伯的河川都位于哪里?|西北部
现今的基督教徒仅剩20至50万为文中哪个国家?|伊拉克
安纳托利亚高原北临黑海，西临爱琴海，东接亚美尼亚高原，其中南临哪里?|地中海
底格里斯河与幼发拉底河的中下游，为哪一个平原?|美索不达米亚平原
文中提及，这里的热带干旱气候具有极强烈的大陆性，酷热干燥少雨，是世界上最热的地区之一，请问为哪?|阿拉伯半岛
面纱是在比较保守的伊斯兰国家，或是较为严谨的穆斯林会穿戴，不仅能够低调也能避免吸引谁的注意?|异性
哪一种权显示阿拉伯女性的地位低落?|监护权
在法律规定上，女性继承人的财产只能拥有男性的多少?|一半
吃饭时不能用餐具且什么不能碰到嘴巴?|手指
宰杀后的处理过程必须在多少小时内完成?|72小时
什么名称为，经由演化后能够成功生存?|适应
往某一方向偏离平均的个体存活率最高为哪种演化选择?|定向选择
于西元1994年，加萨之自治权交由谁管理?|巴勒斯坦民族权力机构
2007年以色列开始对加萨进行严密封锁，是由于谁夺取此地的控制权?|哈马斯
加萨走廊与埃及总长多少公里?|11公里
加萨走廊的海岸线或者是海域都是由谁控制?|以色列
加萨走廊边境的关闭，造成加萨的经济减少多少?|三分之一
约翰•霍普金斯大学和国立阿拉伯巴勒斯坦大学的一个研究表明，由于营养不良，53%的年轻和中年妇女以及44%的儿童罹患有什么症状?|贫血症
谁谴责以色列是发动经济战争?|阿拉伯联盟
埃及开放了与加萨走廊陆路相连的拉法口岸是于西元几年做的决定?|2011年
新罕布夏州为第九个加入合众国的州，是由于此州批准了什么法?|美利坚合众国宪法
定居皮利角于1623年，为谁定居?|英国渔民
新罕布夏州为当初美国革命时多少殖民地之一?|十三
列克星敦和康科德战役为美国什么的第一战战争?|独立战争
于2014年新罕布夏州的国民生产总值为全美第几位?|40位
于2008年联邦资金占预算51.1亿中的多少?|14.8亿美元
新罕布夏州的主要州际公路并且从塞勒姆向利特尔顿向北运行的为哪条公路?|93号州际公路
减少了一个物种可能会破坏当地的什么?|食物链
由于地球上许多物种濒临灭绝，为了保护濒危的物种，199个国家以协议检署什么计划?|生物多样性行动计划
欧洲以及哪里的动物园，可能为最早的人工繁殖?|亚洲
细胞会进入细胞周期的DNA合成，使期染色体会复制使由姊妹染色单体组成，此过程于减数分裂的哪一部分?|开始之前
什么为减数分裂后会产生的四个细胞之形成?|配子
减数分裂具有两个相同的染色体，又称为?|同源染色体
双倍体生物是借由减数分裂产生什么样的配子?|单倍体
个体会在单倍体与双倍体之间交替存在，因此又被称为什么?|世代交替
蒙兀儿帝国全盛时期包括印度次大陆以及哪里?|阿富汗
哪个为蒙兀儿帝国的基层信仰?|印度教
帝国内部实行文化融合和宗教宽容政策，此政策在第几代皇帝由于叛乱而停止?|第四代
无实权的宰相职位名为?|瓦齐尔
蒙兀儿帝王在印度的第一座皇帝陵墓名为?|胡马雍陵
又称红堡，并且以红色沙岩为主建材为哪一座城堡|阿格拉堡
妊神星为哪个星质量的三分之一?|冥王星
妊神星小行星中心归类为经典古柏天体，于西元几年?|2006年
西班牙团队再次访问布朗的日志时，这天正好是谁排到望远镜的时间?|奥尔蒂斯
转速与妊神星从平衡形态变形为不等边椭球形，所需在多少天内?|100天
妊神星光谱于西元几年取得?|2005年
俄罗斯北部和东部分别为太平洋和什么海洋包围?|北冰洋
莫斯科是欧洲什么数据最多的城市?|人口
新西伯利亚是俄罗斯著名的什么城?|科学城
安巴大多数都为谁的后裔?|非洲黑人
安地卡及巴布达最大的岛名为?|安提瓜岛
谁可以随时要求进行新的选举?|总理
镰仓时代总共经历多少年?|141年
文永之役为谁派兵攻打日本?|忽必烈
二元统治为镰仓政权与谁的并存政策?|京都政权
能够将声音转换为讯号的什么，是为电话的基本元件其中之一?|耳机
固网电信又称为什么?|普通老式电话服务
输入要打的电话号码可以从电话拨号转盘或者使用什么样的按键?|数字按钮
直流讯号无法通过，只有交流的振铃讯号才能通过，是由于电话的蜂鸣器透过什么连接到电话?|电容器
告知交换机这通电话已结束，是由于哪种电流被中断?|直流电流
什么样材质的线为交换机与用户之间会用到的?|铜线
元朝在何年建立?|1271年
蒙古常为何种气象现象的发源地?|寒潮
守门员于哪个范围内被视为一般球员?|禁区外
最著名的进攻守门员希基达有什么的称号?|疯子
苏联藉球员列夫雅辛又被称为什么?|黑蜘蛛
有部分的守门员会戴上什么，避免受阳光影响?|棒球帽
